id;libelle;slug;capacite;description;delete_at;created_by;created_date;last_modified_by;last_modified_date
d8e85e5e-0c70-46d6-9076-47fd8d427fc2;du moment que plutôt zzzz;jeune;28528;../fake-data/blob/hipster.txt;2024-03-29T23:59:30;précisément quand élever;2024-03-29T16:50:13;parce que recueillir foule;2024-03-30T06:42:01
4dfe1351-e8b9-41fd-84b4-67e07109edaf;environ;sans;7713;../fake-data/blob/hipster.txt;2024-03-30T14:22:21;répondre;2024-03-29T20:42:45;turquoise;2024-03-30T07:33:50
77b861d7-fee8-4c55-b05c-e52539dbe294;fêter;alors que;26260;../fake-data/blob/hipster.txt;2024-03-29T22:18:07;athlète;2024-03-29T17:16:23;aussitôt que prestataire de services comme;2024-03-29T16:39:00
91103f13-e5c3-4b7c-9b21-e8b66b007372;secours aigre pauvre;svelte;28814;../fake-data/blob/hipster.txt;2024-03-29T20:25:05;au point que;2024-03-30T11:19:09;pendant que grandement téméraire;2024-03-29T20:08:05
9621283c-cfe8-4bbf-8482-4d2386d0a59f;comment afin que en plus de;à condition que dring;7795;../fake-data/blob/hipster.txt;2024-03-29T21:13:54;via;2024-03-29T16:21:49;aggraver blablabla circulaire;2024-03-30T04:02:58
77f6b6ec-2c04-489e-bced-7046c26741f2;dès;chef de cuisine là-haut;23616;../fake-data/blob/hipster.txt;2024-03-29T19:34:52;gai courir coac coac;2024-03-30T00:00:17;afin que creuser rédaction;2024-03-30T07:07:55
fa29451f-4260-40ad-8742-fc5282ec8840;détacher sans plus;neutre pour que hormis;21407;../fake-data/blob/hipster.txt;2024-03-30T06:16:33;propre;2024-03-30T03:56:55;smack;2024-03-30T09:28:22
713a5327-dcb8-4f62-a3ca-3347f89b7c59;redouter;gravir céans équipe de recherche;21641;../fake-data/blob/hipster.txt;2024-03-29T19:16:20;accéder appuyer à la merci;2024-03-29T19:32:31;hi magnifique grrr;2024-03-29T20:08:19
686cad18-e308-4b81-be53-e3e16e38938b;triathlète rassurer toutefois;cyan;22847;../fake-data/blob/hipster.txt;2024-03-30T07:25:41;confronter;2024-03-30T11:27:43;sage oups dedans;2024-03-29T22:54:16
db6e4381-93c4-4119-999e-1ab76b89f757;dans la mesure où;incalculable;32723;../fake-data/blob/hipster.txt;2024-03-29T16:50:22;chef quelque;2024-03-29T20:16:08;à l'égard de;2024-03-29T18:13:34
