id;ressource;action;delete_at;created_date;created_by;last_modified_date;last_modified_by
51883073-75dc-4182-b0a9-8b9b0bb826b7;mince hors de;avant de inventer afin que;2024-03-29T18:43:07;2024-03-30T10:21:49;coupable regretter;2024-03-30T02:33:30;hé
0a460e2f-ce7b-4e21-b01c-486e01701583;sitôt que snif;prout psitt contrarier;2024-03-30T06:52:03;2024-03-30T16:12:06;certainement;2024-03-30T13:28:54;paf sédentaire
15e4a746-2f36-4a0b-a91d-a3fc9bd2a1c6;raide au dépens de outre;jusque prout;2024-03-30T15:22:04;2024-03-29T20:33:39;à condition que parce que;2024-03-30T10:22:35;en decà de aimable commis
df058b64-f7d5-49eb-be76-7afcc8282421;parlementaire au prix de;jeune enfant gens;2024-03-29T22:01:47;2024-03-30T14:38:30;camarade d'après imposer;2024-03-30T03:05:52;carrément de façon à de manière à ce que
8896f440-685a-4923-baef-1a293f33d27a;équipe au cas où viser;en plus de pendant que étant donné que;2024-03-30T02:53:40;2024-03-30T09:22:14;apparemment subsister;2024-03-30T12:36:20;population du Québec passager
e26a32cf-30e0-454d-8df0-09f1bbff88fe;comparer toc-toc;de crainte que bang du moment que;2024-03-30T07:13:55;2024-03-30T03:26:00;lorsque d'entre;2024-03-30T07:45:27;si entièrement discerner
1447c874-0dfd-4829-a176-a36ce40f9e5c;tellement commissionnaire derrière;à la faveur de;2024-03-29T20:48:26;2024-03-29T21:55:37;pour que communauté étudiante;2024-03-29T19:51:10;certainement
3dd18db2-9d58-4bda-98ed-423817de8cf5;flotter avant que;de sorte que bzzz;2024-03-30T07:13:56;2024-03-30T10:33:49;soudain désagréable étant donné que;2024-03-30T08:43:02;prou
2500f1bc-45d3-4752-9ea4-012d80dc3478;équipe;parmi avant que miam;2024-03-30T00:47:12;2024-03-30T15:58:15;enfoncer dorénavant;2024-03-29T23:46:49;sitôt que ouille hebdomadaire
07e557b8-b094-451f-a5ff-2f9b6eca198e;snif trop diététiste;de façon que pin-pon puisque;2024-03-29T19:40:04;2024-03-29T23:49:02;adversaire en bas de;2024-03-30T12:07:41;redevenir
