id;quantite;type_mouvement;transaction_date;delete_at;created_by;created_date;last_modified_by;last_modified_date;produit_id;entrepot_id
c3944843-6485-4fe6-be9a-aeb978d977fa;8701;SORTIE;2024-03-29T20:28:29;2024-03-30T00:18:54;comme virer;2024-03-30T06:36:03;solitaire auprès de dans;2024-03-30T11:27:20;9a60e7c0-e04f-46ef-981d-0049a25e92ac;d8e85e5e-0c70-46d6-9076-47fd8d427fc2
c7cd7613-69dd-4827-b2f2-fe5302a7e588;21369;SORTIE;2024-03-29T18:48:58;2024-03-30T13:35:40;éteindre;2024-03-29T23:09:34;tic-tac marier jadis;2024-03-30T03:00:26;d6432a26-edab-466a-94e2-3924ab5417cd;4dfe1351-e8b9-41fd-84b4-67e07109edaf
71039fd6-48d5-4e28-b07f-5bcee7a22474;17129;ENTREE;2024-03-30T13:32:17;2024-03-29T22:51:54;au moyen de;2024-03-30T03:32:14;de façon que à l'exception de souple;2024-03-30T10:17:49;ac480bc4-dbcc-4ec7-a341-4571b4e237c8;77b861d7-fee8-4c55-b05c-e52539dbe294
194d073d-3b84-4f95-9908-7335c8c44a16;32146;SORTIE;2024-03-30T11:51:01;2024-03-30T01:56:57;gestionnaire de façon que;2024-03-30T06:57:56;cot cot ouille;2024-03-30T05:04:32;30ff0740-38f5-43a8-b5a5-509359e9ccc7;91103f13-e5c3-4b7c-9b21-e8b66b007372
0c996583-61f1-41c8-800b-af16c96c47f3;5577;SORTIE;2024-03-30T14:43:16;2024-03-30T16:02:24;hôte prou déployer;2024-03-30T06:21:53;contre atchoum foule;2024-03-29T19:52:33;c9f80a89-79ca-4ad4-b103-4c24c56e63b0;9621283c-cfe8-4bbf-8482-4d2386d0a59f
f2508972-ef13-453e-8d78-8fe59a8bc82f;26587;ENTREE;2024-03-30T07:31:42;2024-03-29T18:56:42;personnel professionnel;2024-03-30T13:41:10;entre;2024-03-30T15:59:57;871919ad-f77d-43d8-a668-48ca07499a81;77f6b6ec-2c04-489e-bced-7046c26741f2
6508923f-5d35-45f1-be81-4436a6dde8f0;10241;SORTIE;2024-03-30T12:36:00;2024-03-30T00:02:48;égoïste de façon que;2024-03-29T17:41:27;immense deviner aux environs de;2024-03-30T15:28:29;4dd704a8-9d0b-4e13-9a74-0c113fb20866;fa29451f-4260-40ad-8742-fc5282ec8840
c755f238-b83e-4caf-b911-7f08dda8f411;28984;SORTIE;2024-03-29T19:19:33;2024-03-30T06:28:58;minuscule avant si;2024-03-30T08:36:27;au-dessous extra;2024-03-30T08:36:30;58b2e2b0-91f7-45e9-92bc-82908591283a;713a5327-dcb8-4f62-a3ca-3347f89b7c59
7922467b-aa48-455e-bc64-a6304dd3648a;9562;ENTREE;2024-03-29T19:46:03;2024-03-30T13:11:19;hypocrite puisque;2024-03-30T14:00:36;après que après adepte;2024-03-29T19:43:50;db1cdc7a-6e45-4e93-bd7c-2a5ea0906c54;686cad18-e308-4b81-be53-e3e16e38938b
52288f28-b152-4640-9fce-43c0d9814396;26010;ENTREE;2024-03-30T08:29:41;2024-03-30T03:30:57;dynamique dynamique;2024-03-29T23:31:58;enregistrer zzzz;2024-03-30T15:25:26;d2426e77-21b2-4864-8f79-e8efba4c611f;db6e4381-93c4-4119-999e-1ab76b89f757
