id;montant;methode_paiement;statut_paiement;delete_at;created_by;created_date;last_modified_by;last_modified_date;plans_abonnement_id
42976d77-0b97-4065-a3aa-10f29e508417;5450.59;AIRTEL_MONEY;CONFIRME;2024-03-30T11:47:34;du côté de;2024-03-30T07:56:33;là recta;2024-03-30T09:34:49;ce1b7f7a-73ec-4d2a-a190-3a3e1a4139cf
7e8141be-bf57-4125-892e-73dcf6da5000;19755.65;AIRTEL_MONEY;EN_ATTENTE;2024-03-30T01:26:07;de façon à ce que;2024-03-29T21:30:00;certes;2024-03-29T18:47:42;b564486b-4d7c-46c1-a10b-a27571e895dd
578ee56c-cc00-497e-947e-85cfce029154;7695.96;PAYPAL;EN_ATTENTE;2024-03-30T05:43:59;bang remuer;2024-03-29T19:01:39;avant que acquérir clientèle;2024-03-29T18:10:24;984c018a-59d9-469e-a3cd-dab27a2b266f
fd4d3b71-e595-42e9-827a-c22f507847d8;21350.79;AIRTEL_MONEY;CONFIRME;2024-03-29T19:38:46;de crainte que;2024-03-29T22:11:12;groin groin dès que lors;2024-03-29T19:13:39;914f269f-13a1-4aab-948b-6a639b228064
30a82ff8-3071-4679-9da6-5d9ea8e11a11;31742.32;PAYPAL;ANNULE;2024-03-30T02:49:01;dévoiler;2024-03-30T07:11:29;de façon à ce que comme gens;2024-03-30T03:10:04;6d05006d-4cec-4140-9209-9010a8904108
d3bf3054-650b-4935-9b6d-50f7fb542b77;4261.55;CARTE_VISA;ANNULE;2024-03-30T01:28:38;cadre fournir;2024-03-30T01:19:27;à moins de;2024-03-29T16:19:51;b764c99a-9c6b-4ea0-9287-76543a2fce4e
2fcbc331-ee1a-42c9-97f3-dceac66e0725;3653.73;AIRTEL_MONEY;ANNULE;2024-03-30T04:08:55;amorphe ouf trop;2024-03-29T22:31:00;au prix de porte-parole ronron;2024-03-30T01:22:18;eca9b0da-7865-487d-bfd1-b75cca933a1f
dd5e05ec-25ca-49d1-b63d-f701eae0a221;27227.72;AIRTEL_MONEY;EN_ATTENTE;2024-03-30T09:26:57;afin que;2024-03-30T13:01:20;avant que spécialiste en;2024-03-30T04:51:25;3df87fe8-d94b-4cff-ad2c-e7423c1fd575
0ac33988-2ebe-43f1-850f-0bd84d499804;19978.75;PAYPAL;CONFIRME;2024-03-30T07:05:27;de équipe de recherche soutenir;2024-03-30T11:54:16;aussitôt que;2024-03-30T03:47:40;f08c58a6-504c-43f2-b1d0-e74c8e688892
dab0e3a6-20dd-4ba6-8a63-c71dffc00432;22744.56;PAYPAL;EN_ATTENTE;2024-03-30T01:17:28;quasi chut fourbe;2024-03-29T23:01:51;membre du personnel paf;2024-03-30T15:34:23;d02244f0-7e13-42b1-a2c7-86af021f2f15
